ID,Language,Category,Food,ImageFileName,Description,Price,Restrictions,Ingredient
001,EN,Noodles,Marsh Snail Black Bean Noodles,,Savory black bean noodles with marsh snails,11000,"Freshwater fish, Pork","Marsh snails, Black bean sauce, Pork"
002,EN,Noodles,Marsh Snail Spicy Seafood Noodles,,Special taste of spicy seafood soup with added marsh snails,13000,"Freshwater fish, Pork","Marsh snails, Spicy seafood soup, Pork"
003,EN,Noodles,Marsh Snail Black Bean Noodles Platter (2 servings),,Generous portion of black bean noodles with marsh snails (for 2),24000,"Freshwater fish, Pork","Marsh snails, Black bean sauce, Pork"
004,EN,Noodles,Marsh Snail Black Bean Noodles Platter (3 servings),,Generous portion of black bean noodles with marsh snails (for 3),35000,"Freshwater fish, Pork","Marsh snails, Black bean sauce, Pork"
005,EN,Noodles,Hand-pulled Black Bean Noodles,,Traditional black bean noodles made with hand-pulled noodles,8000,Pork,"Black bean sauce, Pork"
006,EN,Noodles,Three Delicacies Dry Black Bean Noodles,,Dry black bean noodles rich with seafood and pork,11000,"Seafood, Pork","Seafood, Dry black bean sauce, Pork"
007,EN,Noodles,Spicy Seafood Noodles,,Spicy seafood noodles with various seafood,9000,"Seafood, Pork","Seafood, Spicy soup, Pork"
008,EN,Noodles,Beef Brisket Spicy Seafood Noodles,,Rich flavored spicy seafood noodles with beef brisket and seafood,13000,"Beef, Seafood","Beef brisket, Spicy soup, Pork"
009,EN,Noodles,Three Delicacies Spicy Seafood Noodles,,Spicy seafood noodles with seafood and pork,11000,"Seafood, Pork","Seafood, Spicy soup, Pork"
010,EN,Noodles,Three Delicacies Udon,,Udon noodles with various seafood,13000,"Seafood, Pork","Seafood, Udon noodles, Pork"
011,EN,Noodles,Black Bean Noodles Platter (2 servings),,Generous portion of black bean noodles for two,26000,Pork,"Black bean sauce, Pork"
012,EN,Noodles,Black Bean Noodles Platter (3 servings),,Generous portion of black bean noodles for three,36000,Pork,"Black bean sauce, Pork"
013,EN,Noodles,Dumplings (8 pieces),,8 pieces of crispy fried dumplings,6000,"Wheat flour, Pork","Dumpling wrapper (wheat), Pork"
014,EN,Rice Dishes,Fried Rice,,Basic pork fried rice,9000,Pork,"Fried rice, Pork"
015,EN,Rice Dishes,Shrimp Fried Rice,,Fried rice with plenty of shrimp,10000,"Seafood, Pork","Shrimp, Fried rice, Pork"
016,EN,Rice Dishes,Spicy Seafood Rice,,Rice served with spicy seafood soup,10000,"Seafood, Pork","Seafood, Spicy soup, Pork"
017,EN,Rice Dishes,Three Delicacies Spicy Seafood Rice,,Spicy seafood rice with seafood and pork,13000,"Seafood, Pork","Seafood, Spicy soup, Pork"
018,EN,Rice Dishes,Marsh Snail Spicy Seafood Rice,,Spicy seafood rice with marsh snails,14000,"Freshwater fish, Pork","Marsh snails, Spicy soup, Pork"
019,EN,Rice Dishes,Japchae Rice,,A bowl of rice mixed with stir-fried glass noodles and vegetables,10000,Pork,"Japchae, Pork"
020,EN,Rice Dishes,Chinese-style Bibimbap,,Chinese-style mixed rice,12000,Pork,"Bibimbap, Pork"
021,EN,Rice Dishes,Assorted Seafood and Meat Rice,,Rice served with various seafood and meat,20000,"Seafood, Pork","Seafood, Assorted stew, Pork"
022,EN,Rice Dishes,Black Bean Sauce Rice,,Rice topped with black bean sauce,9000,Pork,"Black bean sauce, Pork"
023,EN,Main Dishes,Sweet and Sour Pork (Small),,Crispy fried pork with sweet and sour sauce,20000,Pork,"Pork, Deep-fried"
024,EN,Main Dishes,Sweet and Sour Pork (Medium),,Crispy fried pork with sweet and sour sauce,30000,Pork,"Pork, Deep-fried"
025,EN,Main Dishes,Sweet and Sour Pork (Large),,Crispy fried pork with sweet and sour sauce,40000,Pork,"Pork, Deep-fried"
026,EN,Main Dishes,Glutinous Rice Sweet and Sour Pork (Small),,Sweet and sour pork with a chewy texture using glutinous rice (Small),35000,"Pork, Glutinous rice","Pork, Glutinous rice, Deep-fried"
027,EN,Main Dishes,Glutinous Rice Sweet and Sour Pork (Medium),,Sweet and sour pork with a chewy texture using glutinous rice (Medium),35000,"Pork, Glutinous rice","Pork, Glutinous rice, Deep-fried"
028,EN,Main Dishes,Glutinous Rice Sweet and Sour Pork (Large),,Sweet and sour pork with a chewy texture using glutinous rice (Large),45000,"Pork, Glutinous rice","Pork, Glutinous rice, Deep-fried"
029,EN,Main Dishes,Moo Shu Pork,,Moo Shu Pork with a mix of pork and seafood,50000,"Pork, Seafood","Moo Shu Pork, Pork, Seafood"
030,EN,Main Dishes,Eight Treasure Stir-fry,,Eight Treasure Stir-fry with plenty of pork and seafood,50000,"Pork, Seafood","Eight Treasure Stir-fry, Pork, Seafood"
031,EN,Main Dishes,Sliced Meat and Seafood Stir-fry,,Stir-fried sliced meat and seafood dish,50000,"Pork, Seafood","Sliced meat stir-fry, Pork, Seafood"
032,EN,Main Dishes,Spicy Stir-fried Glass Noodles and Vegetables,,Spicy stir-fried glass noodles with vegetables,50000,Pork,"Spicy glass noodles, Pork"
033,EN,Main Dishes,Spicy Garlic Shrimp,,Spicy and crispy garlic shrimp,50000,"Seafood, Pork","Shrimp, Spicy garlic sauce, Pork"
034,EN,Main Dishes,Sweet and Sour Shrimp,,Sweet and sour crispy shrimp,50000,"Seafood, Pork","Shrimp, Sweet and sour sauce, Pork"
035,EN,Main Dishes,Spicy Garlic Chicken,,Spicy and crispy garlic chicken,45000,Chicken,"Chicken, Spicy garlic sauce"
036,EN,Seasonal Specials,Cold Udon,,Refreshing cold udon noodles served with cool broth,9000,"Wheat flour, Seafood","Cold udon noodles, Seafood"
037,EN,Seasonal Specials,Cold Soybean Noodle Soup,,Nutty and refreshing cold soybean noodle soup,9000,Soybean,"Soybean, Noodles"
038,EN,Set Menus,Sweet and Sour Pork + 2 Black Bean Noodles,,Set with sweet and sour pork and two servings of black bean noodles,30000,Pork,"Sweet and sour pork, Black bean sauce, Pork"
039,EN,Set Menus,Sweet and Sour Pork + Black Bean Noodles + Spicy Seafood Noodles,,Set with sweet and sour pork,31000,one black bean noodles,and one spicy seafood noodles
040,EN,Set Menus,Sweet and Sour Pork + 2 Spicy Seafood Noodles,,Set with sweet and sour pork and two servings of spicy seafood noodles,32000,"Pork, Seafood","Sweet and sour pork, Spicy seafood noodles"
041,EN,Rice Dishes,Extra Rice,,Additional serving of steamed rice,1500,None,Rice
042,EN,Rice Dishes,Large Portion,,Upgrade to large portion,2000,None,Rice
043,EN,Rice Dishes,Extra Spicy,,Option to add extra spiciness,1000,None,"Chili pepper, Seasoning"
001,KO,면류,다슬기짜장,,다슬기를 넣은 고소한 짜장면,11000,"민물고기, 돼지고기","다슬기, 짜장, 돼지고기"
002,KO,면류,다슬기짬뽕,,매콤한 짬뽕 국물에 다슬기를 더한 특별한 맛,13000,"민물고기, 돼지고기","다슬기, 짬뽕, 돼지고기"
003,KO,면류,다슬기쟁반짜장 (2인),,다슬기와 함께 즐기는 넉넉한 양의 짜장면 (2인),24000,"민물고기, 돼지고기","다슬기, 짜장, 돼지고기"
004,KO,면류,다슬기쟁반짜장 (3인),,다슬기와 함께 즐기는 넉넉한 양의 짜장면 (3인),35000,"민물고기, 돼지고기","다슬기, 짜장, 돼지고기"
005,KO,면류,수타짜장,,수타면으로 만든 정통 짜장면,8000,돼지고기,"짜장, 돼지고기"
006,KO,면류,삼선간짜장,,해산물과 돼지고기가 풍부하게 들어간 간짜장,11000,"해산물, 돼지고기","해산물, 간짜장, 돼지고기"
007,KO,면류,짬뽕,,매콤한 국물과 다양한 해산물이 들어간 짬뽕,9000,"해산물, 돼지고기","해산물, 짬뽕, 돼지고기"
008,KO,면류,차돌짬뽕,,차돌박이와 해산물이 어우러진 깊은 맛의 짬뽕,13000,"소고기, 해산물","차돌박이, 짬뽕, 돼지고기"
009,KO,면류,삼선짬뽕,,해산물과 돼지고기가 들어간 삼선짬뽕,11000,"해산물, 돼지고기","해산물, 짬뽕, 돼지고기"
010,KO,면류,삼선우동,,다양한 해산물이 들어간 우동,13000,"해산물, 돼지고기","해산물, 우동, 돼지고기"
011,KO,면류,쟁반짜장 (2인),,두 명이 즐길 수 있는 넉넉한 양의 쟁반짜장,26000,돼지고기,"짜장, 돼지고기"
012,KO,면류,쟁반짜장 (3인),,세 명이 즐길 수 있는 넉넉한 양의 쟁반짜장,36000,돼지고기,"짜장, 돼지고기"
