ID,Language,Category,Food,ImageFileName,Description,Price,Restrictions,Ingredient
1,KR,피자,마르게리따,margherita_pizza.jpg,토마토 소스와 바질로 맛을 낸 대표적인 이탈리아 피자,19900,"조개류, 유제품","가리비, 버터"
2,KR,피자,후레시 루꼴라 피자,fresh_rucola_pizza.jpg,얇은 도우에 토마토소스 베이컨과 치즈로 맛을 낸 고소한 피자,21900,"조개류, 유제품","전복, 버터"
3,KR,피자,페페로니 피자,pepperoni_pizza.jpg,이탈리아 고추와 페페로니로 맛을 낸 매콤한 피자,21900,소고기,한우 등심
4,KR,피자,이탈리안 포르마지오,italian_formaggio_pizza.jpg,"까망베르, 에멘탈, 파르미지아노, 모짜렐라 등 다양한 치즈가 녹아 있는 향이 좋은 피자",20900,유제품,"모짜렐라 치즈, 파르미지아노 치즈, 에멘탈 치즈, 까망베르 치즈"
5,KR,피자,고르곤졸라 에 토마토 피자,gorgonzola_pomodoro_pizza.jpg,고르곤졸라와 방울토마토의 짭조름한 플레이 짝이 없는 단짠한 피자,21900,유제품,"고르곤졸라 치즈, 방울토마토, 꿀"
6,KR,피자,샐러드 피자,salad_pizza.jpg,"야채와 치즈를 얹어 구워낸 후 소스와 야채, 토마토, 옥수수 토핑이 한 번 더 얹어져서 스페셜한 피자",21900,유제품,"치즈, 혼합 야채, 토마토, 옥수수"
7,KR,피자,고구마 피자,sweet_potato_pizza.jpg,달콤한 고구마퓨레와 치즈에 베이컨을 얹어 구워낸 피자,21900,유제품,"고구마퓨레, 베이컨, 체다치즈"
8,KR,스테이크,등심 스테이크,sirloin_steak.jpg,"그릴에 구워 불맛 가득한 등심 스테이크와 구운 웨지감자, 로스팅 버섯, 신선한 루꼴라",39900,소고기,"한우 등심, 웨지감자, 로스팅 버섯, 루꼴라"
9,KR,파스타,스파뉴 포모도로 파스타,spagnew_pomodoro.jpg,상큼한 토마토소스와 고소한 모짜렐라 치즈와 향긋한 바질로 맛을 낸 파스타,15000,유제품,"모짜렐라 치즈, 토마토 소스, 바질"
10,KR,파스타,볼로네제 미트 소스 파스타,bolognese_meat_sauce_pasta.jpg,다진 소고기가 푸짐하게 들어있는 토마토 미트소스 파스타,17000,소고기,"다진 소고기, 토마토 소스, 파르미지아노 치즈, 바질"
11,KR,파스타,아마트리치아나 파스타,amatriciana_pasta.jpg,고소한 베이컨과 매콤한 칠리의 토마토 소스가 어우러진 파스타,18900,유제품,"베이컨, 칠리, 토마토 소스, 파르미지아노 치즈"
12,KR,파스타,새우칠리 파스타,shrimp_chili_pasta.jpg,맛있는 새우와 매콤한 칠리 토마토 소스가 어우러진 새우 칠리 파스타,19900,"해산물, 유제품","새우, 칠리, 토마토 소스"
13,KR,파스타,스파게티 마리나라 파스타,spaghetti_marinara.jpg,"새우, 홍합, 바지락, 모시조개 등 풍부한 해산물이 들어간 토마토 소스 스파게티",19900,"해산물, 유제품","새우, 홍합, 바지락, 모시조개, 토마토 소스"
14,KR,리조또,마레 토마토 리조또,mare_pomodoro_risotto.jpg,"각종 해산물, 토마토소스와 쌀로 맛을 낸 이태리식 볶음밥",18900,"해산물, 유제품","새우, 홍합, 바지락, 토마토 소스"
15,KR,리조또,마레 크림 리조또,crema_di_mare_risotto.jpg,"새우, 홍합, 바지락 등 풍부한 해산물과 고소한 크림소스로 맛을 낸 크림 리조또",19900,"해산물, 유제품","새우, 홍합, 바지락, 크림 소스"
16,KR,리조또,버섯 트러플 크림 리조또,mushroom_truffle_cream_risotto.jpg,새송이 버섯과 트러플 향을 가득 담은 크림소스와 함께한 리조또,21900,유제품,"새송이 버섯, 트러플, 크림 소스"
17,KR,파스타,까르보나라 파스타,carbonara_pasta.jpg,"파르미지아노 레지아노 치즈와 버섯, 베이컨으로 맛을 낸 크림 파스타",17900,유제품,"파르미지아노 레지아노 치즈, 베이컨, 버섯"
18,KR,파스타,새우크림 파스타,shrimp_cream_pasta.jpg,풍부한 새우의 향기가 가득한 고소하고 담백한 새우 크림 파스타,19900,"해산물, 유제품","새우, 크림 소스"
19,KR,파스타,해산물 칠리 크림 파스타,seafood_chili_cream_pasta.jpg,"새우, 홍합, 바지락 등 해산물이 어우러진 매콤한 칠리 크림 파스타",19900,"해산물, 유제품","새우, 홍합, 바지락, 칠리, 크림 소스"
20,KR,파스타,빼네 파스타,pane_pasta.jpg,새송이 버섯과 노티러 버섯의 향과 풍미가 진한 크림 스파게티를 빵 안에 담은 파스타,22900,유제품,"새송이 버섯, 노티러 버섯, 크림 소스"
21,KR,파스타,만조 크림 파스타,sirloin_steak_cream_pasta.jpg,그릴에 구운 등심을 곁들인 고소한 치즈 크림 파스타,26000,"소고기, 유제품","한우 등심, 크림 소스, 치즈"
22,KR,파스타,봉골레 에 루꼴라 파스타,vongole_rucola_pasta.jpg,"마늘, 고추, 바지락, 모시조개에 와인을 넣어 루꼴라와 함께 먹는 향기 가득한 올리브 오일 파스타",16900,해산물,"바지락, 모시조개, 루꼴라"
23,KR,파스타,알리오 올리오 에 감베레띠 파스타,aglio_olio_gamberetti.jpg,"마늘, 고추, 가지, 토마토, 호박 등 올리브 오일에 볶고 새우를 곁들인 담백한 파스타",19900,"해산물, 유제품","새우, 마늘, 가지, 토마토, 호박"
24,KR,샐러드,까쁘레제,caprese_salad.jpg,"후레쉬 모짜렐라와 바질, 생토마토를 올리브오일, 루꼴라에 곁들인 이탈리식 전채요리",14900,유제품,"모짜렐라 치즈, 바질, 생토마토, 루꼴라"
25,KR,샐러드,스파뉴 챱 샐러드,cept_salad.jpg,"까망베르 치즈, 감자, 토마토, 베이컨, 야채 믹스가 푸짐하게 들어간 스파뉴 인기 샐러드",14900,"유제품, 소고기","까망베르 치즈, 감자, 토마토, 베이컨"
26,KR,샐러드,스테이크 샐러드,sirloin_steak_salad.jpg,그릴에 구운 부드러운 소고기와 신선한 야채를 곁들인 발사믹 소스 샐러드,21900,소고기,"한우 등심, 신선한 야채, 발사믹 소스"
1,JA,ピザ,マルゲリータ,margherita_pizza.jpg,トマトソースとバジルで味付けした代表的なイタリアンピザ,19900,貝類、乳製品,ホタテ、バター
2,JA,ピザ,フレッシュルッコラピザ,fresh_rucola_pizza.jpg,薄い生地にトマトソース、ベーコン、チーズで味付けした香ばしいピザ,21900,貝類、乳製品,アワビ、バター
3,JA,ピザ,ペパロニピザ,pepperoni_pizza.jpg,イタリア産の唐辛子とペパロニで味付けしたスパイシーなピザ,21900,牛肉,韓牛サーロイン
4,JA,ピザ,イタリアンフォルマッジョ,italian_formaggio_pizza.jpg,カマンベール、エメンタール、パルミジャーノ、モッツァレラなど様々なチーズが溶け込んだ香り高いピザ,20900,乳製品,モッツァレラチーズ、パルミジャーノチーズ、エメンタールチーズ、カマンベールチーズ
5,JA,ピザ,ゴルゴンゾーラとトマトのピザ,gorgonzola_pomodoro_pizza.jpg,ゴルゴンゾーラとプチトマトの塩味が絶妙な甘辛いピザ,21900,乳製品,ゴルゴンゾーラチーズ、プチトマト、はちみつ
6,JA,ピザ,サラダピザ,salad_pizza.jpg,野菜とチーズを焼き上げた後、ソースと野菜、トマト、コーンをトッピングしたスペシャルピザ,21900,乳製品,チーズ、ミックス野菜、トマト、コーン
7,JA,ピザ,スイートポテトピザ,sweet_potato_pizza.jpg,甘いスイートポテトピューレとチーズにベーコンをのせて焼いたピザ,21900,乳製品,スイートポテトピューレ、ベーコン、チェダーチーズ
8,JA,ステーキ,サーロインステーキ,sirloin_steak.jpg,グリルで焼き上げた香ばしいサーロインステーキと焼きウェッジポテト、ローストマッシュルーム、新鮮なルッコラ,39900,牛肉,韓牛サーロイン、ウェッジポテト、ローストマッシュルーム、ルッコラ
9,JA,パスタ,スパニュポモドーロパスタ,spagnew_pomodoro.jpg,さわやかなトマトソースと香ばしいモッツァレラチーズ、バジルの風味豊かなパスタ,15000,乳製品,モッツァレラチーズ、トマトソース、バジル
10,JA,パスタ,ボロネーゼミートソースパスタ,bolognese_meat_sauce_pasta.jpg,牛ひき肉がたっぷり入ったトマトミートソースパスタ,17000,牛肉,牛ひき肉、トマトソース、パルミジャーノチーズ、バジル
11,JA,パスタ,アマトリチャーナパスタ,amatriciana_pasta.jpg,香ばしいベーコンとスパイシーなチリトマトソースが絡み合うパスタ,18900,乳製品,ベーコン、チリ、トマトソース、パルミジャーノチーズ
12,JA,パスタ,エビチリパスタ,shrimp_chili_pasta.jpg,プリプリのエビとスパイシーなチリトマトソースが絶妙に絡み合うエビチリパスタ,19900,海鮮、乳製品,エビ、チリ、トマトソース
13,JA,パスタ,スパゲッティマリナーラパスタ,spaghetti_marinara.jpg,エビ、ムール貝、アサリ、ハマグリなど海鮮たっぷりのトマトソーススパゲッティ,19900,海鮮、乳製品,エビ、ムール貝、アサリ、ハマグリ、トマトソース
14,JA,リゾット,マレトマトリゾット,mare_pomodoro_risotto.jpg,各種海鮮とトマトソースで仕上げたイタリア風の炒めご飯,18900,海鮮、乳製品,エビ、ムール貝、アサリ、トマトソース
15,JA,リゾット,マレクリームリゾット,crema_di_mare_risotto.jpg,エビ、ムール貝、アサリなど海鮮たっぷりのクリーミーなリゾット,19900,海鮮、乳製品,エビ、ムール貝、アサリ、クリームソース
16,JA,リゾット,キノコトリュフクリームリゾット,mushroom_truffle_cream_risotto.jpg,エリンギとトリュフの香りをたっぷり詰め込んだクリームソースリゾット,21900,乳製品,エリンギ、トリュフ、クリームソース
17,JA,パスタ,カルボナーラパスタ,carbonara_pasta.jpg,パルミジャーノレッジャーノチーズとマッシュルーム、ベーコンで味付けしたクリームパスタ,17900,乳製品,パルミジャーノレッジャーノチーズ、ベーコン、マッシュルーム
18,JA,パスタ,エビクリームパスタ,shrimp_cream_pasta.jpg,エビの香りがたっぷり詰まったクリーミーでマイルドなエビクリームパスタ,19900,海鮮、乳製品,エビ、クリームソース
19,JA,パスタ,シーフードチリクリームパスタ,seafood_chili_cream_pasta.jpg,エビ、ムール貝、アサリなどの海鮮とスパイシーなチリクリームソースが絡み合うパスタ,19900,海鮮、乳製品,エビ、ムール貝、アサリ、チリ、クリームソース
20,JA,パスタ,ペンネパスタ,pane_pasta.jpg,エリンギとノティレキノコの風味が豊かなクリームスパゲッティをパンの中に詰め込んだパスタ,22900,乳製品,エリンギ、ノティレキノコ、クリームソース
21,JA,パスタ,サーロインクリームパスタ,sirloin_steak_cream_pasta.jpg,グリルで焼いたサーロインを添えたコクのあるチーズクリームパスタ,26000,牛肉、乳製品,韓牛サーロイン、クリームソース、チーズ
