ID,Language,Category,Food,ImageFileName,Description,Price,Restrictions,Ingredient
001,KO,철판구이,가리비버터구이,garlic_butter_scallops.jpg,가리비를 버터에 구운 요리,31000,"조개류, 유제품","가리비, 버터"
002,KO,철판구이,전복 버터구이,garlic_butter_abalone.jpg,전복을 버터에 구운 요리,32000,"조개류, 유제품","전복, 버터"
003,KO,철판구이,한우 등심구이,hanwoo_ribeye_steak.jpg,한우 등심을 구운 요리,33000,소고기,한우 등심
004,KO,철판구이,참마버터구이,butter_grilled_yam.jpg,참마를 버터에 구운 요리,15000,유제품,"참마, 버터"
005,KO,철판구이,부추계란볶음,garlic_chive_egg_stirfry.jpg,부추와 계란을 볶은 요리,11000,계란,"부추, 계란"
006,KO,철판구이,갑오징어 버터구이,garlic_butter_cuttlefish.jpg,갑오징어를 버터에 구운 요리,26000,"해산물, 유제품","갑오징어, 버터"
007,KO,철판구이,한우대창구이,hanwoo_tripe_grill.jpg,한우 대창을 구운 요리,24000,소고기,한우 대창
008,KO,철판구이,아스파라 버터구이,garlic_butter_asparagus.jpg,아스파라거스를 버터에 구운 요리,19000,유제품,"아스파라거스, 버터"
009,KO,철판구이,닭고기마늘구이,garlic_grilled_chicken.jpg,닭고기를 마늘과 함께 구운 요리,20000,닭고기,"닭고기, 마늘"
010,KO,철판구이,감자베이컨 치즈구이,potato_bacon_cheese_bake.jpg,"감자와 베이컨, 치즈를 구운 요리",15000,"돼지고기, 유제품","감자, 베이컨, 치즈"
011,KO,철판구이,동아리 함박,dongari_hamburger_steak.jpg,동아리 스타일의 함박 스테이크,20000,"소고기, 계란","소고기, 계란"
012,KO,철판구이,돈베이야키,tonpeiyaki.jpg,돼지고기 삼겹살 구이,15000,돼지고기,돼지고기 삼겹살
013,KO,철판구이,아보카도 명란치즈구이,avocado_mentaiko_cheese_grill.jpg,"아보카도와 명란, 치즈를 구운 요리",17000,"유제품, 생선알","아보카도, 명란, 치즈"
014,KO,철판구이,야끼교자,yaki_gyoza.jpg,구운 교자 만두,11000,"밀가루, 돼지고기","밀가루, 돼지고기"
015,KO,스피드,카니미소,kani_miso.jpg,게살과 미소를 곁들인 요리,11000,"조개류, 대두","게살, 미소"
016,KO,스피드,소라와사비,snail_wasabi.jpg,소라와 와사비를 곁들인 요리,9500,"조개류, 와사비","소라, 와사비"
017,KO,스피드,타코와사비,taco_wasabi.jpg,문어와 와사비를 곁들인 요리,11000,"해산물, 와사비","문어, 와사비"
018,KO,스피드,삶은 아스파라거스,boiled_asparagus.jpg,아스파라거스를 삶은 요리,10000,-,아스파라거스
019,KO,스피드,참마와사비,yam_wasabi.jpg,참마와 와사비를 곁들인 요리,10000,와사비,"참마, 와사비"
020,KO,스피드,삶은 풋콩,boiled_edamame.jpg,풋콩을 삶은 요리,5000,대두,풋콩
021,KO,스피드,아보카도사라다,avocado_salad.jpg,아보카도 샐러드,11000,-,아보카도
022,KO,스피드,가오리 지느러미 구이,grilled_skate_fin.jpg,가오리 지느러미를 구운 요리,16000,해산물,가오리 지느러미
023,KO,스피드,허니크림치즈,honey_cream_cheese.jpg,허니 크림 치즈,9500,"유제품, 꿀","크림 치즈, 꿀"
024,KO,샐러드,시저샐러드,caesar_salad.jpg,시저 드레싱을 곁들인 샐러드,20000,"유제품, 계란","시저 드레싱, 상추"
025,KO,샐러드,작은멸치두부샐러드,anchovy_tofu_salad.jpg,작은 멸치와 두부를 곁들인 샐러드,20000,"생선, 대두","멸치, 두부"
026,KO,샐러드,크래미 샐러드,crabmeat_salad.jpg,크래미를 곁들인 샐러드,20000,게살,"크래미, 상추"
027,KO,샐러드,감자샐러드,potato_salad.jpg,감자를 곁들인 샐러드,8000,-,감자
028,KO,샐러드,명란크림치즈감자샐러드,mentaiko_cream_potato_salad.jpg,명란과 크림 치즈를 곁들인 감자 샐러드,12000,"유제품, 생선알","명란, 크림 치즈, 감자"
029,KO,샐러드,토마토샐러드,tomato_salad.jpg,토마토를 곁들인 샐러드,11000,-,토마토
030,KO,샐러드,샐러리쯔께모노,celery_tsukemono.jpg,샐러리를 절인 요리,8000,-,샐러리
031,KO,샐러드,오이쯔께모노,cucumber_tsukemono.jpg,오이를 절인 요리,8000,-,오이
032,KO,샐러드,타타키오이,smashed_cucumber.jpg,오이를 으깬 샐러드,10000,-,"오이, 해조류"
033,KO,나베,농어린스키야키,sea_bass_sukiyaki.jpg,농어린 스타일 스키야키,42000,"소고기, 대두","소고기, 야채"
034,KO,나베,추가메뉴 고기,additional_meat.jpg,스키야키용 추가 고기,15000,소고기,고기
035,KO,나베,추가메뉴 우동사리,additional_udon_noodles.jpg,우동 사리 추가,2000,밀가루,우동
036,KO,나베,나가사키 짬뽕탕,nagasaki_champon_soup.jpg,나가사키 스타일 짬뽕탕,33000,해산물,"해산물, 야채"
037,KO,나베,오뎅탕,oden_soup.jpg,어묵을 곁들인 탕,33000,"생선, 대두","어묵, 야채"
038,KO,생선구이,삼치 소금구이,grilled_spanish_mackerel.jpg,삼치를 소금에 구운 요리,16000,생선,"삼치, 소금"
039,KO,생선구이,시사모 소금구이,grilled_shishamo.jpg,시사모를 소금에 구운 요리,15000,생선,"시사모, 소금"
040,KO,생선구이,임연수어 소금구이,grilled_atka_mackerel.jpg,임연수어를 소금에 구운 요리,18000,생선,"임연수어, 소금"
041,KO,일품요리,한우 타타키,hanwoo_tataki.jpg,한우를 얇게 썰어 구운 요리,31000,소고기,한우
042,KO,일품요리,시메사바,shime_saba.jpg,고등어를 식초에 절인 요리,17000,생선,"고등어, 식초"
043,KO,일품요리,명란구이,grilled_mentaiko.jpg,명란을 구운 요리,19000,생선알,명란
044,KO,일품요리,한우스지 군만 된장조림,hanwoo_tendon_miso_stew.jpg,한우스지를 된장에 조린 요리,13000,"소고기, 대두","한우스지, 된장"
045,KO,일품요리,바지락 청주찜,steamed_clams_sake.jpg,바지락을 청주에 찐 요리,16000,조개류,"바지락, 청주"
046,KO,일품요리,바지락 버터구이,garlic_butter_clams.jpg,바지락을 버터에 구운 요리,16000,"조개류, 유제품","바지락, 버터"
047,KO,일품요리,아게다시두부,agedashi_tofu.jpg,두부를 튀겨서 다시에 담근 요리,14000,"대두, 밀가루","두부, 다시"
048,KO,일품요리,가지 된장볶음,miso_eggplant_stirfry.jpg,가지를 된장에 볶은 요리,11000,대두,"가지, 된장"
049,KO,일품요리,가지튀김,fried_eggplant.jpg,가지를 튀긴 요리,11000,밀가루,가지
050,KO,일품요리,아게다시모찌,agedashi_mochi.jpg,모찌를 튀겨서 다시에 담근 요리,14000,"대두, 밀가루, 쌀","모찌, 다시"
051,KO,일품요리,계란말이,tamagoyaki.jpg,계란을 말아서 만든 요리,14000,계란,계란
052,KO,일품요리,명란계란말이,mentaiko_tamagoyaki.jpg,명란을 넣어 만든 계란말이,22000,"계란, 생선알","계란, 명란"
053,KO,튀김,치킨 가라아게,chicken_karaage.jpg,치킨을 튀겨서 만든 가라아게,22000,"닭고기, 밀가루","닭고기, 밀가루, 튀김가루"
054,KO,튀김,오징어다리 튀김,fried_squid_legs.jpg,오징어다리를 튀긴 요리,19000,"해산물, 밀가루","오징어, 밀가루, 튀김가루"
055,KO,튀김,문어튀김,fried_octopus.jpg,문어를 튀긴 요리,13000,"해산물, 밀가루","문어, 밀가루, 튀김가루"
056,KO,튀김,닭모래집 가라아게,chicken_gizzard_karaage.jpg,닭모래집을 튀긴 가라아게,17000,"닭고기, 밀가루","닭모래집, 밀가루, 튀김가루"
057,KO,튀김,명란마요 꿀모찌튀김,mentaiko_mayo_honey_mochi_fry.jpg,명란마요와 꿀을 넣은 모찌 튀김,14000,"생선알, 밀가루, 꿀","명란, 마요네즈, 모찌, 꿀"
058,KO,튀김,우엉튀김,fried_burdock.jpg,우엉을 튀긴 요리,16000,밀가루,"우엉, 밀가루, 튀김가루"
059,KO,튀김,진미채 덴뿌라,tempura_dried_squid.jpg,진미채를 튀긴 덴뿌라,14000,"해산물, 밀가루","진미채, 밀가루, 튀김가루"
060,KO,튀김,감자튀김,french_fries.jpg,감자를 튀긴 요리,11000,-,"감자, 소금, 튀김기름"
061,KO,튀김,갑오징어 덴뿌라,tempura_cuttlefish.jpg,갑오징어를 튀긴 덴뿌라,25000,"해산물, 밀가루","갑오징어, 밀가루, 튀김가루"
062,KO,튀김,굴튀김,fried_oysters.jpg,굴을 튀긴 요리,15000,"조개류, 밀가루","굴, 밀가루, 튀김가루"
063,KO,튀김,전갱이 튀김,fried_horse_mackerel.jpg,전갱이를 튀긴 요리,20000,"생선, 밀가루","전갱이, 밀가루, 튀김가루"
064,KO,튀김,새우크림 고로케,shrimp_cream_croquette.jpg,새우와 크림이 들어간 고로케,21000,"해산물, 유제품, 밀가루","새우, 크림, 밀가루, 튀김가루"
001,JA,鉄板焼き,ホタテバター焼き,garlic_butter_scallops.jpg,ホタテをバターで焼いた料理,31000,"貝類, 乳製品","ホタテ, バター"
002,JA,鉄板焼き,アワビバター焼き,garlic_butter_abalone.jpg,アワビをバターで焼いた料理,32000,"貝類, 乳製品","アワビ, バター"
003,JA,鉄板焼き,和牛サーロイン焼き,hanwoo_ribeye_steak.jpg,和牛サーロインを焼いた料理,33000,牛肉,和牛サーロイン
004,JA,鉄板焼き,山芋バター焼き,butter_grilled_yam.jpg,山芋をバターで焼いた料理,15000,乳製品,"山芋, バター"
005,JA,鉄板焼き,ニラ玉炒め,garlic_chive_egg_stirfry.jpg,ニラと卵を炒めた料理,11000,卵,"ニラ, 卵"
006,JA,鉄板焼き,コウイカバター焼き,garlic_butter_cuttlefish.jpg,コウイカをバターで焼いた料理,26000,"海産物, 乳製品","コウイカ, バター"
007,JA,鉄板焼き,和牛大腸焼き,hanwoo_tripe_grill.jpg,和牛の大腸を焼いた料理,24000,牛肉,和牛大腸
008,JA,鉄板焼き,アスパラバター焼き,garlic_butter_asparagus.jpg,アスパラガスをバターで焼いた料理,19000,乳製品,"アスパラガス, バター"
009,JA,鉄板焼き,鶏肉ガーリック焼き,garlic_grilled_chicken.jpg,鶏肉をニンニクと一緒に焼いた料理,20000,鶏肉,"鶏肉, ニンニク"
010,JA,鉄板焼き,ジャガイモベーコンチーズ焼き,potato_bacon_cheese_bake.jpg,ジャガイモとベーコン、チーズを焼いた料理,15000,"豚肉, 乳製品","ジャガイモ, ベーコン, チーズ"
011,JA,鉄板焼き,ハンバーグステーキ,dongari_hamburger_steak.jpg,ハンバーグステーキ,20000,"牛肉, 卵","牛肉, 卵"
012,JA,鉄板焼き,豚バラ焼き,tonpeiyaki.jpg,豚バラを焼いた料理,15000,豚肉,豚バラ
013,JA,鉄板焼き,アボカド明太子チーズ焼き,avocado_mentaiko_cheese_grill.jpg,アボカドと明太子、チーズを焼いた料理,17000,"乳製品, 魚卵","アボカド, 明太子, チーズ"
014,JA,鉄板焼き,焼き餃子,yaki_gyoza.jpg,焼き餃子,11000,"小麦粉, 豚肉","小麦粉, 豚肉"
015,JA,スピード,カニ味噌,kani_miso.jpg,カニ味噌,11000,"貝類, 大豆",カニ味噌
016,JA,スピード,サザエわさび,snail_wasabi.jpg,サザエとわさびを合わせた料理,9500,"貝類, わさび","サザエ, わさび"
017,JA,スピード,タコわさび,taco_wasabi.jpg,タコとわさびを合わせた料理,11000,"海産物, わさび","タコ, わさび"
