ID,Language,Category,Food,ImageFileName,Description,Price,Restrictions,Ingredient
1,KR,찌개류,돼지 김치찌개,kimchi_stew_pork.jpg,돼지고기와 김치가 들어간 얼큰한 찌개,9000,"돼지고기, 유제품","돼지고기, 김치, 두부"
2,KR,찌개류,꽁치 김치찌개,kimchi_stew_pacific.jpg,꽁치와 김치가 들어간 얼큰한 찌개,9000,"생선, 유제품","꽁치, 김치, 두부"
3,KR,찌개류,들깨순두부찌개,perilla_soft_tofu.jpg,들깨가루와 순두부로 만든 부드러운 찌개,9000,"유제품, 대두","들깨, 순두부"
4,KR,국류,설렁탕,seolleongtang.jpg,고기와 뼈를 오래 끓여 만든 국물요리,9000,소고기,"한우, 뼈"
5,KR,밥류,꼬막비빔밥,cockle_bibimbap.jpg,양념장과 꼬막이 어우러진 비빔밥,10000,"조개류, 대두","꼬막, 양념장, 두부"
6,KR,덮밥류,참치 김치비빔밥,tuna_kimchi_bibimbap.jpg,참치와 김치가 들어간 매콤한 비빔밥,9000,"생선, 유제품","참치, 김치, 두부"
7,KR,밥류,비빔밥,bibimbap.jpg,다양한 채소와 고추장을 비벼 먹는 전통 음식,9000,"유제품, 계란","다양한 채소, 계란, 참기름"
8,KR,면류,냉면+공기밥,naengmyeon_rice.jpg,시원한 냉면과 공기밥의 조합,9000,"메밀, 글루텐","냉면(메밀, 밀가루), 공기밥"
9,KR,볶음류,제육볶음,spicy_pork_stir_fry.jpg,매콤한 양념으로 볶은 돼지고기 요리,10000,"돼지고기, 유제품","돼지고기, 양념장"
10,KR,안주류,계란말이,egg_roll.jpg,부드럽게 말아낸 계란말이,16000,"계란, 유제품","계란, 치즈"
11,KR,무침류,도토리묵무침,acorn_jelly_salad.jpg,도토리묵을 양념장에 무쳐낸 요리,20000,대두,"도토리묵, 양념장"
12,KR,볶음류,두부김치,tofu_kimchi.jpg,두부와 김치를 함께 볶아낸 요리,20000,"대두, 유제품","두부, 김치, 양념장"
13,KR,볶음류,오징어볶음,stir_fried_squid.jpg,매콤하게 볶아낸 오징어 요리,20000,해산물,"오징어, 양념장"
14,KR,볶음류,제육볶음,spicy_pork_stir_fry.jpg,매콤한 양념으로 볶은 돼지고기 요리,20000,돼지고기,"돼지고기, 양념장"
15,KR,무침류,홍어회무침,spicy_fermented_skate.jpg,홍어회를 양념장에 무쳐낸 매콤한 요리,22000,생선,"홍어회, 양념장"
16,KR,안주류,골뱅이+사리,whelk_with_noodles.jpg,골뱅이와 면을 양념장에 버무린 요리,25000,"조개류, 글루텐","골뱅이, 면(밀가루), 양념장"
17,KR,무침류,꼬막무침,spicy_cockle_salad.jpg,꼬막을 양념장에 무쳐낸 요리,29000,조개류,"꼬막, 양념장"
18,KR,탕류,번데기탕,beondegi_soup.jpg,고소한 번데기와 함께 끓인 탕,11000,기타 (곤충성분),번데기
19,KR,탕류,해물계란탕,seafood_egg_soup.jpg,다양한 해산물과 계란을 넣어 만든 국물요리,18000,"해산물, 계란","해산물, 계란"
20,KR,탕류,오뎅탕,fish_cake_soup.jpg,어묵을 넣어 끓인 따뜻한 국물요리,20000,"글루텐, 생선","어묵(밀가루), 생선성분"
21,KR,탕류,도가니탕,ox_knee_soup.jpg,도가니를 넣어 오랜 시간 끓여낸 국물요리,20000,소고기,도가니
22,KR,찌개류,돼지 김치찌개,kimchi_stew_pork.jpg,돼지고기와 김치를 넣어 끓인 얼큰한 찌개,23000,"돼지고기, 유제품","돼지고기, 김치, 두부"
23,KR,찌개류,꽁치 김치찌개,kimchi_stew_pacific.jpg,꽁치와 김치를 넣어 끓인 얼큰한 찌개,23000,"생선, 유제품","꽁치, 김치, 두부"
